Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
2,053819054;-4,513070107;35,57304764;12,8401041;38,08776435
2,063714422;-0,363918662;39,09132767;6,432023048;39,61862259
2,0736507;10,06163311;27,97983742;-2,703053713;29,85656146
2,083519776;5,90529871;18,11333275;-1,695094824;19,12691095
2,09354507;1,953668594;16,3500042;-1,271321058;16,5153176
2,103562482;1,769315004;19,73301125;-2,30561614;19,94587863
2,113567621;3,076549292;24,64351845;-3,072957993;25,02421283
2,123556831;2,519897223;28,18813324;-3,606864929;28,52946218
2,133529144;0,052672438;28,12588501;-2,962824583;28,2815578
2,143563816;-2,184709072;25,71133232;-1,428141356;25,84347405
2,15346847;-2,828749418;23,67625999;0,228646263;23,84574154
2,163448141;-2,628833532;21,39698029;1,44968915;21,60655293
2,173495971;-2,164358377;19,2278347;1,972822189;19,44957845
2,183537178;-0,16759412;16,55351067;3,155557871;16,85242857
2,193570437;1,279700756;13,40513515;4,054580688;14,06324668
2,203587588;2,400187254;10,35611916;5,278017521;11,86876454
2,2135552;3,700238705;6,953958988;5,64552784;9,691300051
2,223468302;4,335899353;3,543418407;4,264073372;7,038334954
2,233423682;5,738901615;0,284909993;1,776497602;6,014325331
2,243410043;3,386598349;-3,600879431;-1,021126986;5,047581735
2,253429005;4,557363033;-4,449624062;-1,632845521;6,575324829
2,263504684;3,193865061;-6,606799603;-1,070208192;7,415923448
2,273489789;0,14844051;-7,62194109;-1,148019671;7,709343015
2,283446378;-1,060631394;-5,596446514;-0,899022758;5,766575627
2,293434829;-3,037044764;-1,70946002;-0,093373865;3,486346674
2,303419679;-2,272097349;-0,393846184;-0,306457818;2,326253979
2,31339838;-1,771709204;0,234631762;-0,359130263;1,822904307
2,323398825;-1,326387763;0,380678058;0,047884032;1,380765426
2,333385219;-1,665167332;0,234631762;0,311246216;1,710177919
2,343445786;-1,691503525;-0,416591108;0,04070143;1,742523725
2,353427502;-1,564610839;-1,138442874;-0,197521642;1,94501261
2,363407735;-1,431732655;-1,835155606;-0,174776718;2,334138255
2,374122539;-1,130063176;-2,239775658;0,011971008;2,508740936
2,384005982;-0,626083732;-2,205059767;0,061052144;2,293032224
2,393711245;-0,016759412;-1,758541107;0,004788403;1,758627485
2,40356708;0,695515573;-0,869095206;0,523133099;1,229933587
2,413541768;1,096544385;0,345962137;0,40821138;1,220137664
2,424199347;1,26413846;1,686715126;-0,861912608;2,277267509
2,433786418;1,510741234;3,614047527;-0,06584055;3,917654092
2,443610474;1,939303398;5,975927353;2,655169725;6,82074275
2,453512007;1,308431268;9,040505409;5,53419733;10,6803591
2,463510091;0,527921498;12,03086376;5,074510574;13,06793945
2,47355981;-0,799663365;14,98171711;2,910152197;15,28267957
2,483554488;-2,079364061;17,41662025;1,625662923;17,61548171
2,494307113;1,199495077;23,18066025;10,74398041;25,57762524
2,503849103;1,199495077;23,18066025;10,74398041;25,57762524
2,513696582;2,895787001;32,00688553;-2,525882721;32,2367242
2,523643629;-7,638700485;27,70091438;-2,650381327;28,85680031
2,533606814;-13,96178722;23,07052803;-0,799663365;26,97814352
2,545262755;3,184288263;22,41930389;5,422866821;23,28459498
2,554663616;12,02128696;25,46832085;-11,34971333;30,36383868
2,564092693;8,602366447;24,92244339;-14,63814926;30,15633112
2,574969236;-2,513911724;27,3693161;0,359130263;27,48687306
2,584335503;-11,48977375;25,04335022;4,157531261;27,86519975
2,593929652;-5,489904404;23,96595955;4,356249809;24,96964517
2,603674877;1,310825467;21,63041496;3,514688015;21,95327189
2,61354499;3,356670856;18,40781975;4,771644115;19,31019561
